senator,ticker,transaction_date,type,party,state,industry,sector,IQ_STATE,Committee Code,Rank Within Party,Party Code,Committee Seniority,Committee Period of Service,Committee_Name,Amount,count,SPY_Price,SPY_Price_30,Stock price,Stock price_30,Excess Return,Sus Trade_return,Sus trade_State,Time,Time2,Committee_Rank
"Blunt, Roy",NRDY,9/27/2021,Purchase,Republican,MO,Computer Software: Prepackaged Software,Technology,MO,432,5,200,3,2,Intelligence (Select Committee),8000.5,0,442.64,453.94,10.06,7.76,-0.254156877,0,1,1,1,1
"Boozman, John",IWM,4/22/2021,Sale (Full),Republican,AR,,,CA,332,8,200,7,2,Environment and Public Works,8000.5,0,412.27,414.94,221.58,219.97,0.013753845,1,0,1,1,11
"Cantwell, Maria",RNWK,4/28/2016,Sale (Partial),Democrat,WA,Computer Software: Prepackaged Software,Technology,WA,435,2,100,19,2,Indian Affairs (Select Committee),8000.5,0,207.4475,210.24,0,0,,0,1,1,0,16
"Cantwell, Maria",RNWK,12/28/2022,Sale (Full),Democrat,WA,Computer Software: Prepackaged Software,Technology,WA,435,2,100,19,2,Indian Affairs (Select Committee),32500.5,0,376.66,405.68,0,0,,0,1,2,1,16
"Cassidy, Bill",OXY,7/8/2015,Purchase,Republican,LA,Oil & Gas Production,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,204.53,207.95,72.54,68.78,-0.068554735,0,0,1,0,7
"Cassidy, Bill",NBL,7/16/2015,Purchase,Republican,LA,,,0,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,212.3,209.42,5.334963,5.480463,0.040838625,1,0,2,0,7
"Cassidy, Bill",IHE,8/27/2015,Purchase,Republican,LA,,,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,199.27,192.85,168.85,153.84,-0.056677875,0,0,3,0,7
"Cassidy, Bill",CAT,8/27/2015,Purchase,Republican,LA,Construction/Ag Equipment/Trucks,Capital Goods,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,199.27,192.85,75.66,64.98,-0.108940217,0,0,4,0,7
"Cassidy, Bill",AAPL,1/5/2016,Purchase,Republican,LA,Computer Manufacturing,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,201.36,191.6,25.6775,24.15,-0.011017477,0,0,5,0,7
"Cassidy, Bill",INTC,1/5/2016,Sale (Full),Republican,LA,Semiconductors,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,201.36,191.6,33.83,29.77,0.085439448,1,0,6,0,7
"Cassidy, Bill",CMI,1/5/2016,Purchase,Republican,LA,Construction/Ag Equipment/Trucks,Industrials,IN,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,201.36,191.6,89.09,97.57,0.143655046,1,0,7,0,7
"Cassidy, Bill",COP,2/9/2016,Sale (Full),Republican,LA,Integrated oil Companies,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,185.43,199.54,33.58,39.03,-0.068923538,0,0,8,0,7
"Cassidy, Bill",SLB,2/9/2016,Purchase,Republican,LA,Oilfield Services/Equipment,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,185.43,199.54,67.8,73.18,0.003257628,1,0,9,0,7
"Cassidy, Bill",BLK,3/31/2016,Purchase,Republican,LA,Investment Bankers/Brokers/Service,Finance,NY,336,14,200,1,2,Finance,8000.5,1,205.52,206.3308,340.57,356.33,0.042330247,1,0,10,1,1
"Cassidy, Bill",AFL,3/31/2016,Purchase,Republican,LA,Accident &Health Insurance,Finance,GA,336,14,200,1,2,Finance,8000.5,1,205.52,206.3308,31.57,34.485,0.08838938,1,0,1,1,1
"Cassidy, Bill",CSCO,3/31/2016,Purchase,Republican,LA,Computer Communications Equipment,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,28.47,27.49,-0.038367314,0,0,1,0,7
"Cassidy, Bill",NSC,3/31/2016,Purchase,Republican,LA,Railroads,Transportation,GA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,83.25,90.11,0.078457288,1,0,2,0,7
"Cassidy, Bill",EMR,3/31/2016,Purchase,Republican,LA,Consumer Electronics/Appliances,Energy,MO,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,54.38,54.63,0.000652164,1,0,3,0,7
"Cassidy, Bill",BLK,3/31/2016,Purchase,Republican,LA,Investment Bankers/Brokers/Service,Finance,NY,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,340.57,356.33,0.042330247,1,0,4,0,7
"Cassidy, Bill",VFC,3/31/2016,Purchase,Republican,LA,Apparel,Consumer Non-Durables,CO,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,64.76,63.05,-0.030350303,0,0,5,0,7
"Cassidy, Bill",QCOM,3/31/2016,Purchase,Republican,LA,Radio And Television Broadcasting And Communications Equipment,Technology,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,51.14,50.52,-0.016068697,0,0,6,0,7
"Cassidy, Bill",LOW,3/31/2016,Purchase,Republican,LA,RETAIL: Building Materials,Consumer Services,NC,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,75.75,76.02,-0.000380758,0,0,7,0,7
"Cassidy, Bill",AMT,3/31/2016,Sale (Partial),Republican,LA,Real Estate Investment Trusts,Consumer Services,MA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,102.37,104.88,-0.020002501,0,0,8,0,7
"Cassidy, Bill",TM,3/31/2016,Sale (Full),Republican,LA,Auto Manufacturing,Capital Goods,ON,362,7,200,5,2,"Health, Education, Labor, and Pensions",32500.5,0,205.52,206.3308,0.8,0.65,0.234698843,1,0,9,0,7
"Cassidy, Bill",F,3/31/2016,Sale (Full),Republican,LA,Auto Manufacturing,Capital Goods,MI,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,13.5,13.56,-0.000495167,0,0,10,0,7
"Cassidy, Bill",CVX,3/31/2016,Sale (Partial),Republican,LA,Integrated oil Companies,Energy,CA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,95.4,102.18,-0.062423882,0,0,11,0,7
"Cassidy, Bill",OXY,3/31/2016,Sale (Full),Republican,LA,Oil & Gas Production,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,68.43,76.65,-0.103311092,0,0,12,0,7
"Cassidy, Bill",JNJ,3/31/2016,Purchase,Republican,LA,Major Pharmaceuticals,Health Care,NJ,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,108.2,112.08,0.031914405,1,0,13,0,7
"Cassidy, Bill",EV,3/31/2016,Purchase,Republican,LA,,,MA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,0,0,,0,0,14,0,7
"Cassidy, Bill",T,3/31/2016,Sale (Partial),Republican,LA,Telecommunications Equipment,Public Utilities,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,39.17,38.82,0.012945583,1,0,15,0,7
"Cassidy, Bill",XOM,3/31/2016,Sale (Partial),Republican,LA,Integrated oil Companies,Energy,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,83.59,88.4,-0.050482153,0,0,16,0,7
"Cassidy, Bill",CTL,3/31/2016,Sale (Full),Republican,LA,,,0,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,0,0,,0,0,17,0,7
"Cassidy, Bill",WMT,3/31/2016,Purchase,Republican,LA,Department/Specialty Retail Stores,Consumer Services,AR,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,68.49,66.87,-0.027598203,0,0,18,0,7
"Cassidy, Bill",AFL,3/31/2016,Purchase,Republican,LA,Accident &Health Insurance,Finance,GA,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,31.57,34.485,0.08838938,1,0,19,0,7
"Cassidy, Bill",ABT,3/31/2016,Purchase,Republican,LA,Major Pharmaceuticals,Health Care,IL,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,41.83,38.9,-0.073990537,0,0,20,0,7
"Cassidy, Bill",CAT,3/31/2016,Sale (Full),Republican,LA,Construction/Ag Equipment/Trucks,Capital Goods,TX,362,7,200,5,2,"Health, Education, Labor, and Pensions",8000.5,0,205.52,206.3308,76.54,77.72,-0.011253095,0,0,21,0,7
