Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,IQ_STATE
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3/4/1957,66740,1902,MN
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916,WI
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",3/4/1957,1800,1888,IL
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888),IL
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,1989,IL
ADM,ADM,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",3/4/1957,7084,1902,IL
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,1982,CA
ADP,ADP,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",3/31/1981,8670,1949,NJ
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761,1981,VA
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4977,1955,GA
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1090872,1999,CA
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",9/18/2023,1559720,2008,CA
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969,1940,PA
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1086222,1998,MA
ALK,Alaska Air Group,Industrials,Passenger Airlines,"SeaTac, Washington",5/13/2016,766421,1985,WA
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,915913,1994,NC
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1035443,1994,CA
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/2017,1097149,1997,AZ
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241,1908,0
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,352541,1917,WI
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",7/13/1995,899051,1931,IL
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1652044,1998,CA
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1652044,1998,CA
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/1957,764180,1985,VA
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",11/18/2005,1018724,1994,WA
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",6/7/2019,1748790,2019 (1860),0
AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,2488,1969,CA
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1002910,1902,MO
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",3/23/2015,6201,1934,TX
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",3/4/1957,4904,1906,OH
AXP,American Express,Financials,Consumer Finance,"New York City, New York",6/30/1976,4962,1850,NY
AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",3/31/1980,5272,1919,NY
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",11/19/2007,1053507,1995,MA
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1410636,1886,NJ
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,820027,1894,MN
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1037868,1930,PA
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154,1980,CA
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,820313,1932,CT
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/1999,6281,1965,MA
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1013462,1969,PA
AON,Aon,Financials,Insurance Brokers,"London, UK",4/23/1996,315293,1982 (1919),0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,1841666,1954,TX
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,320193,1977,CA
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",3/16/1995,6951,1967,CA
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",12/24/2012,1521332,1994,0
ACGL,Arch Capital Group,Financials,Reinsurance,"Hamilton, Bermuda",11/1/2022,947484,1995,0
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,1596532,2004,CA
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/2016,354190,1927,IL
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",4/10/2007,1267238,1892,GA
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,732717,1983 (1885),TX
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,731802,1906,TX
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",12/1/1989,769397,1982,CA
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1/2/1997,866787,1979,TN
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",1/10/2007,915912,1978,VA
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",12/31/1987,8818,1990,OH
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",5/4/2023,1069183,1993,AZ
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,1701605,2017,TX
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",10/31/1984,9389,1880,CO
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,70858,1998 (1923 / 1874),NC
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,"Columbus, Ohio",9/30/1983,701985,1963,OH
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,10456,1931,IL
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,10795,1897,NJ
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/2019,11544,1967,CT
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1067983,1839,NE
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,764478,1966,MN
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/2020,12208,1952,CA
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/2021,842023,1976,MN
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,875045,1978,MA
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/2011,1364742,1988,NY
BX,Blackstone,Financials,Asset Management & Custody Banks,"New York City, New York",9/18/2023,1393818,1985,NY
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/1995,1390777,1784,NY
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",3/4/1957,12927,1916,VA
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",11/6/2009,1075531,1996,CT
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,908255,1880,MI
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1037540,1970,MA
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2/24/1995,885725,1979,MA
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",3/4/1957,14272,1989 (1887),NY
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1730168,1961,CA
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1383312,1962,NY
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/2021,79282,1939,FL
BF.B,Brownâ€“Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,14693,1870,KY
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",3/15/2023,1144519,1818,MO
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1043277,1905,MN
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,813672,1988,CA
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/2021,1590895,1973,NV
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",4/4/2022,906345,1981,TX
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/1957,16732,1869,NJ
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,927628,1994,VA
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,721371,1971,OH
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",6/28/2010,1170010,1993,VA
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,815097,1972,FL
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/2020,1783180,2020 (1915),FL
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/2020,1596783,2007,NJ
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",3/4/1957,18230,1925,TX
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1374310,1973,IL
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",11/10/2006,1138118,1906,TX
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,1402057,1984,IL
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1306830,1918,TX
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/2001,1140859,1985,PA
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/2016,1071739,1984,MO
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1130310,1882,TX
CDAY,Ceridian,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",9/20/2021,1725057,1992,MN
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1324404,1946,IL
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/2021,1100682,1947,MA
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/1997,316709,1971,TX
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1091667,1993,CT
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/1957,93410,1879,CA
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1058090,1993,CA
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,896159,1985,0
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,313927,1847,NJ
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,1739940,1982,CT
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,20286,1950,OH
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,723254,1929,OH
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,858877,1984,CA
C,Citigroup,Financials,Diversified Banks,"New York City, New York",5/31/1988,831001,1998,NY
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,759944,1828,RI
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",3/31/1969,21076,1913,CA
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1156375,1848,IL
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",3/4/1957,811156,1886,MI
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",3/4/1957,21344,1886,GA
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1058290,1994,NJ
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",3/4/1957,21665,1806,NY
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/2002,1166691,1963,PA
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,28412,1849,TX
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,23217,1919,IL
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957,1163165,2002,TX
ED,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",3/4/1957,1047862,1823,NY
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,16918,1945,NY
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",2/2/2022,1868275,1999,MD
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,711404,1958,CA
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,900075,1982,TX
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",2/27/1995,24741,1851,NY
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",6/3/2019,1755672,2019,IN
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",9/19/2022,1057352,1987,DC
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",10/1/1993,909832,1976,WA
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,858470,2021 (1989),TX
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",3/14/2012,1051470,1994,TX
CSX,CSX,Industrials,Rail Transportation,"Jacksonville, Florida",3/4/1957,277948,1980,FL
CMI,Cummins,Industrials,Industrial Machinery & Supplies & Components,"Columbus, Indiana",3/31/1965,26172,1919,IN
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/1957,64803,1996,RI
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/2005,882184,1978,TX
DHR,Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C.",11/18/1998,313616,1969,DC
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",5/31/1995,940944,1938,FL
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,927066,1979,CO
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/1957,315189,1837,IL
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",9/11/2013,27904,1929,GA
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",11/14/2008,818479,2016 (1969),NC
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1090012,1971,OK
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",5/12/2020,1093557,1999,CA
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,1539838,2007,TX
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",5/18/2016,1297996,2004,TX
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1393612,1985,IL
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1744489,1923,CA
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",12/3/2012,29534,1939,TN
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",12/19/2011,935703,1986,VA
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,VA
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/2020,1286681,1960,MI
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",10/31/1985,29905,1955,IL
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,1751788,2019,MI
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/1957,936340,1995,MI
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,1904,NC
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/2019,1666700,2017,DE
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,1920,TN
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",3/4/1957,1551182,1911,0
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",7/22/2002,1065088,1995,CA
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1/31/1989,31462,1923,MN
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",3/4/1957,827052,1886,CA
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1099800,1958,CA
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,712515,1982,CA
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,1156039,2014 (1946),IN
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,59478,1876,IN
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,32604,1890,MO
ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",1/7/2021,1463101,2006,CA
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/1957,65984,1913,LA
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,821189,1999,TX
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",12/14/2021,1352010,1993,PA
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",10/3/2022,33213,1888,PA
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,33185,1899,GA
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",3/20/2015,1101239,1998,CA
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",12/3/2001,906107,1969,IL
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",4/2/2014,920522,1971,CA
EL,EstÃ©e Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",1/5/2006,1001250,1946,NY
ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",9/21/2020,1370637,2005,NY
EG,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,1095073,1973,0
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1711269,1909,MO
ES,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",2009,72741,1966,MA
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",3/4/1957,1109357,2000,IL
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",10/2/2007,1324424,1996,WA
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515,1979,WA
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",1/19/2016,1289490,1977,UT
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/1957,34088,1999,TX
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1048695,1996,WA
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",12/20/2021,1013237,1978,CT
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",3/20/2023,814547,1956,MT
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota",9/15/2008,815556,1967,MN
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,34903,1962,MD
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1048911,1971,TN
FITB,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",3/29/1996,35527,1858,OH
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",12/19/2022,1274494,1999,AZ
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",11/28/1997,1031296,1997,OH
FIS,FIS,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",11/10/2006,1136893,1968,FL
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",4/2/2001,798354,1984,WI
FLT,Fleetcor,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",6/20/2018,1175454,2000,GA
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,37785,1883,PA
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/1957,37996,1903,MI
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,1262039,2000,CA
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",7/1/2016,1659166,2016,WA
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",7/1/2013,1754301,2019,NY
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",9/18/2015,1754301,2019,ON
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",4/30/1998,38777,1947,CA
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",,831259,1912,AZ
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,1989,0
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,749251,1979,CT
GEHC,GE HealthCare,Health Care,Health Care Technology,"Chicago, Illinois",1/4/2023,1932393,1994,IL
GEN,Gen Digital,Information Technology,Application Software,"Tempe, Arizona",3/25/2003,849399,1982,AZ
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/2021,1474735,1959,WI
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/1957,40533,1899,VA
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",3/4/1957,40545,1892,MA
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/4/1957,40704,1856,MN
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1467858,1908,MI
GPC,Genuine Parts Company,Consumer Discretionary,Automotive Parts & Equipment,"Atlanta, Georgia",12/31/1973,40987,1925,GA
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004,882095,1987,CA
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,320335,1900,TX
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",4/25/2016,1123360,2000,GA
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",7/22/2002,886982,1869,NY
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/1957,45012,1919,TX
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/1957,874766,1810,CT
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,46080,1923,RI
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,860730,1968,TN
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",3/31/2008,765880,1985,CO
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,1000228,1932,NY
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/1957,47111,1894,PA
